No.	JK	UMUR	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	KELAS
27	0	19	2	2	3	3	1	3	2	3	2	3	3	3	2	3	1	3	1	3
28	0	18	2	2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	1	2
29	1	19	3	1	3	3	3	3	2	2	2	3	2	3	3	3	3	3	2	3
30	0	19	3	2	2	2	2	2	1	1	2	1	1	2	2	3	2	1	1	2
31	1	18	2	2	2	2	3	1	2	2	2	1	1	2	3	2	1	2	1	2
32	1	18	2	2	3	2	2	3	2	2	2	2	1	1	1	2	2	1	1	2
33	1	18	2	1	2	1	3	3	2	1	1	1	1	1	2	2	2	1	1	1
34	1	19	1	1	2	2	2	2	2	1	1	1	1	2	3	2	2	1	1	1
35	1	19	2	1	2	2	1	2	3	2	1	2	1	2	2	2	2	2	1	2
36	1	15	1	1	2	2	1	2	2	2	1	1	1	1	2	2	1	1	1	1
37	0	21	3	2	2	2	2	3	2	2	2	2	2	2	2	2	3	2	1	2
38	1	21	1	2	2	1	2	2	2	1	1	2	1	2	2	1	2	1	1	2
39	1	21	2	1	1	3	2	2	1	2	1	2	2	1	1	2	1	1	1	1
40	1	21	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
41	1	14	2	2	3	1	2	3	2	2	2	2	1	1	2	2	1	1	1	2
42	0	22	2	2	2	2	2	2	2	1	2	1	1	1	1	2	1	1	1	2
43	0	21	2	1	2	2	2	1	2	1	1	2	1	2	2	2	2	1	1	2
44	0	14	2	2	1	2	1	2	1	1	3	2	1	1	3	2	1	3	1	2
45	0	14	2	2	3	1	1	1	2	1	1	3	1	1	1	1	2	1	1	1
46	0	20	3	2	2	2	3	1	3	3	2	3	3	3	3	3	2	2	1	2
47	1	21	3	2	1	1	1	2	1	2	2	1	1	1	2	2	1	1	1	1
48	1	20	2	1	2	3	1	2	1	2	1	2	1	3	3	2	2	1	1	2
49	1	15	3	3	3	3	3	3	3	2	3	3	3	3	3	3	3	3	1	3
50	1	15	2	1	1	1	3	3	3	2	3	3	3	3	3	3	3	2	1	3
51	1	21	2	1	2	2	1	3	2	2	1	1	1	2	3	2	2	1	1	1
52	0	15	2	2	2	3	1	2	1	1	1	1	1	2	2	2	1	1	1	2
53	0	14	3	3	2	2	1	2	1	2	1	2	1	3	3	3	2	3	2	2
54	1	14	2	1	1	2	1	2	1	1	1	1	1	1	2	2	1	1	1	1
55	1	21	2	2	1	1	1	2	2	2	2	1	1	3	1	2	2	1	3	2
56	0	16	3	3	3	3	2	3	3	1	3	3	3	3	3	3	3	3	1	3
57	1	21	2	2	2	2	2	2	2	2	2	2	1	1	2	1	2	1	1	2
58	1	20	3	1	2	2	1	3	2	2	1	1	2	1	3	1	2	1	1	1
59	0	14	3	3	3	3	2	2	1	2	1	2	1	1	2	2	1	2	1	2
60	0	14	2	2	2	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1
61	1	14	3	2	2	2	1	3	2	1	1	2	1	1	2	2	1	1	1	2
62	1	19	2	1	1	2	1	2	2	2	1	1	1	1	1	2	1	1	1	1
63	1	19	2	1	2	3	3	2	2	2	2	1	1	2	3	1	2	1	1	1
64	0	21	2	2	2	2	2	3	2	3	1	2	1	2	2	2	2	1	1	2
65	0	17	3	3	3	3	2	1	2	2	3	3	2	3	3	3	2	3	2	3
66	1	19	1	1	1	1	1	2	2	1	1	1	1	1	1	2	1	1	1	1
67	1	18	2	1	2	2	1	2	3	2	2	1	1	2	2	2	2	1	1	1
68	0	22	2	1	3	2	1	2	1	1	2	1	1	2	2	2	1	1	1	1
69	0	22	1	2	1	3	1	1	2	1	1	1	1	1	2	2	1	1	1	1
70	0	19	2	2	3	2	2	1	2	2	1	1	2	2	2	1	2	2	1	2
71	0	18	3	2	2	3	2	3	2	2	2	1	2	3	3	2	2	3	1	2
72	1	20	2	2	2	2	2	2	3	3	3	3	3	3	3	3	1	3	1	3
73	1	21	2	1	2	1	2	2	2	1	1	1	1	1	2	2	2	1	1	1
74	0	22	2	2	2	2	1	3	3	2	3	3	1	2	2	2	3	2	1	2
75	0	23	3	3	3	3	1	3	3	2	2	2	2	3	3	2	1	2	1	3
76	0	19	2	3	3	3	3	3	3	1	3	3	3	3	3	3	1	3	1	3
77	1	19	2	1	2	1	2	1	2	2	1	2	1	3	2	2	2	1	1	2
78	0	14	3	3	1	2	1	2	1	1	1	2	1	2	2	2	1	2	1	2
79	0	17	2	2	2	2	1	3	3	3	3	3	3	3	3	3	2	3	2	3
80	0	23	2	3	3	2	2	1	2	2	1	1	1	1	1	3	1	1	1	1
81	1	18	2	2	3	2	2	2	3	2	1	2	1	2	2	2	1	2	1	2
82	1	18	3	2	2	1	3	1	2	3	2	2	1	3	3	2	1	1	1	2
83	0	15	3	3	3	3	3	3	3	2	3	3	2	3	3	3	2	3	2	3
84	1	19	2	1	1	1	2	2	1	1	1	2	1	2	1	2	2	1	1	1
85	1	21	2	2	2	2	3	3	3	3	3	3	3	3	3	3	1	3	2	3
86	0	16	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	1	2
87	1	20	2	2	3	2	1	1	3	2	1	2	1	2	2	2	1	1	1	2
88	1	20	1	2	1	3	2	1	2	2	1	1	2	1	2	1	1	1	1	1
89	1	23	3	2	3	2	1	3	3	2	2	3	3	3	3	2	2	3	3	3
90	0	19	1	2	1	1	2	2	2	1	1	1	1	2	2	2	2	1	1	1
91	1	23	2	1	3	2	3	3	2	2	2	2	2	2	2	2	3	2	1	2
92	1	20	2	1	1	2	1	1	2	1	2	1	1	2	2	1	2	1	1	1
93	1	21	2	2	3	2	1	2	2	2	1	2	2	2	3	2	2	2	1	2
94	0	19	2	2	3	2	2	3	2	1	1	2	1	2	2	2	2	1	1	2
95	0	19	2	2	3	2	2	2	2	1	1	1	1	1	2	2	1	1	1	2
96	0	22	3	2	3	2	1	2	3	2	2	2	2	2	3	2	3	2	1	2
97	1	23	2	1	2	2	1	1	2	1	1	1	1	2	2	2	1	1	1	1
98	0	21	2	2	2	2	2	2	2	2	1	1	1	3	3	2	2	1	1	2
99	0	20	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2
100	1	19	2	1	2	1	1	3	2	1	1	2	1	2	2	1	1	1	1	2
101	1	23	3	1	2	3	3	3	2	3	3	2	3	3	3	2	2	2	1	3
102	0	18	2	2	2	1	2	3	2	1	2	2	2	3	2	3	2	2	1	2
103	0	22	2	3	2	2	2	3	2	2	2	2	2	3	2	2	2	1	1	2
104	0	18	3	3	3	3	2	2	3	3	3	2	2	3	3	2	2	2	1	3
105	1	20	1	1	1	1	2	2	2	1	1	1	1	2	3	1	1	1	1	1
106	0	21	1	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1
107	1	21	2	1	2	1	2	2	3	2	3	3	2	1	3	2	2	1	1	2
108	0	20	3	2	2	2	2	2	3	2	3	2	2	2	2	2	1	3	1	2
109	1	20	1	2	1	2	1	1	2	1	1	1	1	2	2	2	1	1	1	1
110	0	20	2	2	2	3	3	3	2	2	2	2	1	2	2	2	2	2	1	2
111	0	19	1	2	1	1	1	2	2	1	1	1	1	2	3	1	1	1	1	1
112	1	22	3	3	2	3	2	3	1	2	2	3	3	3	2	3	3	2	1	3
113	0	21	2	3	3	3	2	3	3	2	3	3	2	3	3	2	3	2	1	3
114	0	20	2	1	1	1	1	2	1	1	1	1	1	2	2	1	2	1	1	1
115	0	18	2	2	3	1	1	1	1	2	1	2	1	3	2	1	1	1	1	2
116	0	14	2	2	2	3	2	2	2	2	1	2	1	2	2	2	2	1	1	2
117	1	19	2	1	1	2	1	1	2	2	2	2	1	1	2	1	2	1	1	1
118	1	19	2	2	1	1	1	2	2	2	2	2	2	2	3	2	2	2	1	2
119	1	19	2	1	2	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1
120	0	23	3	2	2	3	3	3	2	3	3	3	3	3	3	2	2	2	1	3
121	1	19	3	2	1	1	2	1	1	1	1	1	1	2	2	2	1	1	1	1
122	1	19	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1
123	1	19	2	1	2	2	1	1	2	2	2	2	1	1	2	2	2	1	1	2
124	1	19	1	1	1	2	1	3	2	2	2	2	1	1	1	3	2	1	1	1
125	1	20	3	2	3	1	2	3	1	1	3	1	3	1	2	2	2	3	2	2
126	1	23	3	3	3	3	2	3	1	2	3	3	2	3	3	2	2	3	1	3
127	1	20	2	1	3	2	2	1	2	1	1	1	1	2	2	2	1	1	1	1
128	0	19	2	2	2	2	2	1	2	1	1	1	2	3	2	2	2	1	1	2
129	1	19	2	1	2	2	2	3	2	2	2	1	1	1	2	2	1	1	1	1
130	1	18	2	1	2	2	1	3	2	2	2	2	1	2	3	2	2	1	1	2
131	1	18	2	2	1	1	1	2	3	2	2	2	1	1	2	2	2	1	1	2
132	0	23	2	2	1	2	1	2	1	1	1	1	1	2	2	2	1	1	1	1
133	0	23	3	3	3	2	2	3	1	2	3	2	2	3	3	3	2	3	1	3
134	0	14	2	1	2	3	1	2	1	1	1	1	1	2	2	2	1	1	1	1
135	1	18	3	2	3	1	2	3	2	2	3	1	1	1	3	2	2	1	1	2
136	0	19	2	2	2	2	1	1	2	2	1	1	1	2	3	2	2	2	1	2
137	0	22	2	2	2	3	1	2	1	1	1	2	1	2	3	2	1	1	1	2
138	1	18	2	2	1	1	1	1	1	2	1	1	1	2	3	2	1	1	1	1
139	0	21	3	3	3	3	2	2	1	2	3	3	3	3	3	2	2	2	1	3
140	0	19	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
141	0	14	2	2	2	3	1	3	3	3	2	2	1	2	2	2	2	2	2	2
142	0	22	1	2	2	1	1	1	2	2	1	2	1	2	1	3	1	1	1	2
143	1	17	2	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
144	1	23	2	1	2	1	1	3	2	2	1	1	1	2	2	2	2	2	1	1
145	0	19	2	2	2	2	1	1	2	2	1	1	1	2	3	2	1	1	1	2
146	0	24	3	2	3	3	3	3	1	2	3	3	2	3	3	3	3	2	1	3
147	0	23	3	3	3	2	3	3	2	2	3	2	2	3	3	2	2	2	1	3
148	0	22	3	2	2	2	1	2	2	2	1	2	2	1	2	2	2	2	1	2
149	1	15	3	1	2	2	1	1	2	2	1	1	1	3	1	3	2	2	2	1
150	0	22	2	2	1	2	1	2	1	1	1	2	1	1	2	2	1	1	1	2
151	0	19	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
152	0	21	2	1	3	3	1	1	2	2	2	2	1	2	3	2	1	1	1	2
153	1	21	2	1	2	2	1	2	3	2	2	2	2	2	2	2	2	2	1	2
154	0	22	2	2	2	1	1	2	2	2	3	1	1	1	2	3	1	1	1	2
155	0	14	2	2	2	3	1	3	3	3	2	2	1	2	2	2	2	2	2	2
156	1	22	2	1	2	2	2	3	2	2	1	1	1	2	2	2	2	1	1	1
157	0	22	2	2	2	1	1	1	1	1	1	1	1	1	2	2	2	1	1	2
158	1	18	2	1	3	2	1	2	2	2	2	1	2	2	3	2	2	1	1	1
159	1	22	2	1	2	1	1	2	1	1	2	1	1	1	2	1	2	1	1	1
160	0	22	2	2	2	2	2	1	2	2	2	1	2	2	3	2	2	3	2	2
161	1	19	2	1	2	2	2	3	3	3	2	2	1	2	2	2	2	1	1	2
162	0	23	3	3	3	3	3	3	1	2	3	3	3	3	3	3	3	3	2	3
163	1	19	2	2	2	2	1	2	2	2	2	2	2	2	2	2	3	2	1	2
164	0	21	3	2	2	2	2	1	3	2	2	2	2	1	2	2	2	1	1	2
165	0	23	2	2	1	2	2	2	2	1	1	1	1	1	1	1	2	1	1	1
166	0	23	2	3	2	2	1	1	2	2	2	3	1	1	3	1	1	2	1	2
167	1	24	3	2	3	3	3	3	1	3	3	3	3	3	3	3	3	3	2	3
168	1	23	2	1	2	2	2	2	2	1	2	1	1	2	2	2	1	1	1	1
169	1	21	2	2	2	2	1	1	2	2	1	2	1	2	2	2	1	1	1	2
170	1	23	2	2	2	2	1	2	2	2	1	1	1	1	2	2	2	1	1	2
171	1	22	2	2	2	2	2	2	2	1	3	2	1	2	2	2	2	2	1	2
172	1	21	2	1	2	2	1	2	1	1	2	2	1	2	2	2	2	1	1	2
173	1	19	2	1	2	2	1	2	3	2	2	1	1	1	3	2	2	2	1	1
174	1	21	2	1	2	2	2	3	2	2	2	2	1	1	2	1	2	2	1	2
175	1	18	3	2	2	3	2	3	3	2	2	3	2	1	2	2	1	2	1	2
176	1	19	2	2	2	3	2	2	3	3	2	2	1	3	3	2	2	2	1	2
177	0	22	3	3	3	3	2	3	1	2	3	3	3	3	3	3	2	3	2	3
178	0	20	3	2	2	2	2	3	2	1	2	2	1	2	2	2	2	1	1	2
179	1	20	3	2	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1
180	1	22	2	2	1	1	1	2	2	1	1	2	1	1	2	1	1	1	1	2
181	1	19	1	2	1	2	1	3	2	1	2	2	1	1	2	1	2	1	1	2
182	0	21	3	2	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	1
183	0	22	3	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	2	3
184	0	19	2	2	2	3	1	1	2	2	1	2	1	2	2	2	1	1	1	2
185	1	20	2	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1
186	0	19	2	3	2	3	1	1	2	2	1	2	1	2	2	2	1	1	1	2
187	0	21	2	3	2	2	1	2	2	2	1	2	1	2	2	2	1	1	1	2
188	0	18	2	2	2	2	1	1	1	2	1	1	2	3	3	3	2	2	1	2
189	0	19	3	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1
190	0	22	2	2	2	1	1	3	2	2	3	1	2	2	2	1	2	1	1	2
191	1	20	3	1	2	2	2	1	1	2	2	2	1	2	3	2	3	2	1	2
192	1	24	2	2	2	2	1	2	1	2	1	2	1	1	2	2	1	1	1	2
193	0	23	2	3	1	1	1	1	2	1	1	1	1	3	2	1	1	1	1	1
194	0	23	3	3	3	3	2	3	1	2	3	3	2	3	3	2	3	2	2	3
195	0	23	3	2	3	2	2	3	3	2	2	2	2	1	2	2	2	2	1	2
196	1	23	3	2	3	3	1	3	1	3	3	3	2	3	3	3	3	2	2	3
197	0	16	2	2	2	3	1	2	2	2	2	2	1	1	2	2	2	1	1	2
198	1	24	1	2	1	2	1	1	1	1	1	1	1	1	3	1	1	1	1	1
199	1	21	3	1	1	1	2	1	1	1	1	1	1	2	3	1	1	1	1	1
200	0	22	2	2	2	1	1	1	2	2	2	1	1	2	2	2	1	1	1	2
201	0	22	3	2	3	3	3	3	1	2	3	3	2	3	3	3	3	2	2	3
202	0	23	2	2	2	2	1	3	2	2	2	2	1	1	2	2	1	1	1	2
203	0	23	2	2	2	2	1	1	2	2	2	1	1	1	1	1	2	2	1	2
204	0	22	2	3	1	2	1	1	1	1	1	1	1	1	2	1	3	2	2	1
205	0	24	2	2	2	3	2	2	1	2	2	2	1	2	3	2	2	2	1	2
206	0	22	3	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1
207	0	22	3	3	3	3	2	3	1	3	3	3	2	3	3	3	2	2	2	3
208	0	20	2	2	3	2	1	1	2	1	3	2	1	2	2	2	1	2	1	2
209	0	22	3	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1
210	0	19	2	2	2	2	1	2	2	2	2	2	1	2	2	1	2	1	1	2
211	1	14	2	1	3	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2
212	1	22	3	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	1	3
213	1	23	2	1	2	2	1	2	1	1	1	1	1	2	2	2	2	1	1	1
214	0	24	2	2	2	1	1	2	2	2	2	2	2	1	2	2	1	1	1	2
215	0	23	3	3	2	2	2	2	1	1	2	2	1	2	2	3	1	1	1	2
216	1	15	2	1	1	2	2	3	2	2	1	1	1	3	3	2	1	1	1	1
217	1	23	3	1	2	1	2	3	3	2	2	2	1	2	2	2	1	2	1	2
218	1	24	2	1	2	3	1	3	2	2	2	1	1	2	3	1	2	1	1	2
219	0	15	2	2	3	2	3	3	2	2	2	3	1	2	2	3	1	1	1	2
220	0	18	3	3	2	2	2	2	2	2	1	2	3	2	2	2	3	3	2	3
221	1	23	2	1	2	2	1	3	3	2	3	3	1	1	2	2	3	1	1	3
222	1	22	1	1	1	2	1	3	3	2	1	1	2	1	3	3	2	1	1	1
223	1	15	1	1	3	2	1	3	3	3	1	3	3	3	3	3	1	1	1	2
224	1	24	2	1	2	1	2	1	2	2	2	2	1	2	3	2	2	1	1	2
225	0	22	2	1	3	2	1	1	2	1	1	2	1	2	2	2	1	3	1	2
